CODIGO MUNICIPIO IBGE;NOME ENTE;NOTA-GERAL;FAIXA GERAL; I-EDUC;FAIXA;I-SAUDE;FAIXA; I-PLANEJAMENTO;FAIXA; I-FISCAL;FAIXA; I-AMBIENTE;FAIXA; I-CIDADE;FAIXA;I-GOV-TI;FAIXA
2100402;Altamira do Maranhão;40.4;C;47.0;C;70.0;B;18.0;C;58.0;C+;2.0;C;0.0;C;16.0;C
2100436;Alto Alegre do Maranhão;45.4;C;42.0;C;84.0;B+;27.0;C;39.0;C;43.0;C;10.0;C;48.0;C
2100501;Alto Parnaíba;49.0;C;47.0;C;64.0;B;29.0;C;70.0;B;26.0;C;47.0;C;37.0;C
2100550;Amapá do Maranhão;45.35;C;76.0;B+;61.0;B;42.0;C;43.0;C;2.0;C;0.0;C;15.0;C
2100600;Amarante do Maranhão;36.4;C;24.0;C;66.0;B;25.0;C;31.0;C;16.0;C;57.0;C+;59.0;C+
2100709;Anajatuba;43.5;C;68.0;B;59.0;C+;31.0;C;44.0;C;18.0;C;5.0;C;21.0;C
2100808;Anapurus;51.3;C+;72.0;B;75.0;B+;50.0;C+;30.0;C;32.0;C;10.0;C;44.0;C
2100832;Apicum-Açu;58.85;C+;72.0;B;81.0;B+;50.0;C+;62.0;B;24.0;C;50.0;C+;27.0;C
2100873;Araguanã;42.8;C;50.0;C+;60.0;B;33.0;C;54.0;C+;12.0;C;0.0;C;32.0;C
2100907;Araioses;45.05;C;62.0;B;69.0;B;25.0;C;48.0;C;32.0;C;0.0;C;13.0;C
2100956;Arame;43.2;C;53.0;C+;74.0;B;25.0;C;28.0;C;30.0;C;30.0;C;46.0;C
2101004;Arari;46.7;C;71.0;B;65.0;B;25.0;C;36.0;C;21.0;C;50.0;C+;58.0;C+
2101202;Bacabal;47.8;C;49.0;C;67.0;B;12.0;C;60.0;B;49.0;C;67.0;B;47.0;C
2101251;Bacabeira;51.05;C+;75.0;B+;72.0;B;33.0;C;59.0;C+;8.0;C;0.0;C;37.0;C
2101350;Bacurituba;45.45;C;39.0;C;74.0;B;40.0;C;55.0;C+;15.0;C;20.0;C;27.0;C
2101707;Barreirinhas;48.45;C;55.0;C+;78.0;B+;31.0;C;34.0;C;50.0;C+;30.0;C;47.0;C
2101509;Barão de Grajaú;46.6;C;35.0;C;63.0;B;40.0;C;68.0;B;32.0;C;5.0;C;31.0;C
2101731;Belágua;48.4;C;37.0;C;63.0;B;50.0;C+;71.0;B;31.0;C;10.0;C;16.0;C
2101806;Benedito Leite;37.1;C;33.0;C;63.0;B;22.0;C;53.0;C+;19.0;C;0.0;C;20.0;C
2101939;Bernardo do Mearim;53.35;C+;49.0;C;82.0;B+;46.0;C;52.0;C+;32.0;C;50.0;C+;49.0;C
2101970;Boa Vista do Gurupi;37.0;C;22.0;C;63.0;B;25.0;C;70.0;B;5.0;C;0.0;C;10.0;C
2102077;Bom Lugar;42.05;C;53.0;C+;57.0;C+;50.0;C+;23.0;C;32.0;C;0.0;C;37.0;C
2102101;Brejo;37.6;C;41.0;C;53.0;C+;35.0;C;39.0;C;29.0;C;0.0;C;18.0;C
2102150;Brejo de Areia;37.05;C;47.0;C;37.0;C;32.0;C;67.0;B;6.0;C;0.0;C;13.0;C
2102200;Buriti;46.9;C;40.0;C;57.0;C+;31.0;C;77.0;B+;31.0;C;35.0;C;33.0;C
2102309;Buriti Bravo;51.7;C+;57.0;C+;82.0;B+;38.0;C;67.0;B;16.0;C;5.0;C;21.0;C
2102325;Buriticupu;47.05;C;41.0;C;64.0;B;29.0;C;73.0;B;30.0;C;5.0;C;36.0;C
2102358;Buritirana;40.4;C;31.0;C;77.0;B+;33.0;C;40.0;C;15.0;C;30.0;C;16.0;C
2102374;Cachoeira Grande;37.2;C;47.0;C;67.0;B;0.0;C;50.0;C+;28.0;C;0.0;C;32.0;C
2102507;Cajari;54.5;C+;70.0;B;58.0;C+;29.0;C;84.0;B+;30.0;C;40.0;C;18.0;C
2102556;Campestre do Maranhão;43.85;C;75.0;B+;45.0;C;35.0;C;41.0;C;23.0;C;0.0;C;51.0;C+
2102705;Cantanhede;54.0;C+;44.0;C;69.0;B;37.0;C;71.0;B;52.0;C+;45.0;C;59.0;C+
2102754;Capinzal do Norte;35.5;C;51.0;C+;37.0;C;38.0;C;33.0;C;20.0;C;0.0;C;18.0;C
2102804;Carolina;40.4;C;62.0;B;61.0;B;27.0;C;36.0;C;17.0;C;0.0;C;42.0;C
2103000;Caxias;61.4;B;71.0;B;81.0;B+;29.0;C;77.0;B+;42.0;C;65.0;B;51.0;C+
2103109;Cedral;50.75;C+;56.0;C+;88.0;B+;27.0;C;57.0;C+;29.0;C;45.0;C;16.0;C
2103158;Centro do Guilherme;50.1;C+;43.0;C;78.0;B+;44.0;C;65.0;B;25.0;C;20.0;C;8.0;C
2103307;Codó;50.5;C+;55.0;C+;56.0;C+;31.0;C;62.0;B;49.0;C;62.0;B;46.0;C
2103505;Colinas;44.75;C;52.0;C+;67.0;B;15.0;C;47.0;C;54.0;C+;20.0;C;51.0;C+
2103554;Conceição do Lago-Açu;51.8;C+;67.0;B;77.0;B+;27.0;C;60.0;B;43.0;C;18.0;C;16.0;C
2103604;Coroatá;63.65;B;80.0;B+;74.0;B;29.0;C;62.0;B;64.0;B;85.0;B+;84.0;B+
2103703;Cururupu;50.85;C+;72.0;B;71.0;B;25.0;C;52.0;C+;30.0;C;45.0;C;40.0;C
2102606;Cândido Mendes;56.7;C+;81.0;B+;70.0;B;38.0;C;64.0;B;39.0;C;0.0;C;32.0;C
2103752;Davinópolis;47.4;C;55.0;C+;64.0;B;25.0;C;56.0;C+;45.0;C;10.0;C;52.0;C+
2103802;Dom Pedro;31.6;C;48.0;C;65.0;B;10.0;C;22.0;C;2.0;C;20.0;C;36.0;C
2103901;Duque Bacelar;41.0;C;38.0;C;77.0;B+;19.0;C;33.0;C;42.0;C;40.0;C;16.0;C
2104008;Esperantinópolis;45.8;C;37.0;C;66.0;B;25.0;C;65.0;B;55.0;C+;0.0;C;34.0;C
2104057;Estreito;51.5;C+;41.0;C;78.0;B+;38.0;C;60.0;B;43.0;C;10.0;C;58.0;C+
2104073;Feira Nova do Maranhão;33.45;C;58.0;C+;36.0;C;25.0;C;36.0;C;15.0;C;0.0;C;23.0;C
2104081;Fernando Falcão;44.55;C;43.0;C;61.0;B;35.0;C;58.0;C+;26.0;C;0.0;C;43.0;C
2104206;Fortuna;45.2;C;40.0;C;67.0;B;29.0;C;70.0;B;16.0;C;20.0;C;24.0;C
2104404;Gonçalves Dias;40.3;C;59.0;C+;53.0;C+;29.0;C;33.0;C;30.0;C;0.0;C;38.0;C
2104503;Governador Archer;47.95;C;57.0;C+;58.0;C+;27.0;C;70.0;B;20.0;C;30.0;C;49.0;C
2104651;Governador Newton Bello;16.1;C;11.0;C;32.0;C;0.0;C;20.0;C;18.0;C;15.0;C;19.0;C
2104677;Governador Nunes Freire;42.7;C;43.0;C;66.0;B;31.0;C;66.0;B;15.0;C;0.0;C;8.0;C
2104800;Grajaú;50.1;C+;41.0;C;90.0;A;31.0;C;32.0;C;45.0;C;87.0;B+;61.0;B
2104909;Guimarães;49.1;C;53.0;C+;68.0;B;31.0;C;50.0;C+;45.0;C;60.0;B;28.0;C
2105005;Humberto de Campos;43.3;C;40.0;C;66.0;B;26.0;C;61.0;B;39.0;C;0.0;C;24.0;C
2105104;Icatu;52.15;C+;65.0;B;52.0;C+;35.0;C;72.0;B;40.0;C;57.0;C+;18.0;C
2105153;Igarapé do Meio;38.85;C;36.0;C;64.0;B;27.0;C;43.0;C;38.0;C;0.0;C;21.0;C
2105203;Igarapé Grande;53.6;C+;71.0;B;78.0;B+;40.0;C;39.0;C;31.0;C;45.0;C;49.0;C
2105302;Imperatriz;57.65;C+;81.0;B+;63.0;B;29.0;C;53.0;C+;42.0;C;87.0;B+;66.0;B
2105401;Itapecuru Mirim;53.4;C+;65.0;B;69.0;B;31.0;C;52.0;C+;57.0;C+;48.0;C;50.0;C+
2105427;Itinga do Maranhão;47.6;C;65.0;B;72.0;B;33.0;C;46.0;C;29.0;C;0.0;C;26.0;C
2105476;Jenipapo dos Vieiras;46.2;C;41.0;C;59.0;C+;35.0;C;49.0;C;37.0;C;77.0;B+;33.0;C
2105500;João Lisboa;44.75;C;49.0;C;65.0;B;46.0;C;50.0;C+;19.0;C;0.0;C;21.0;C
2105658;Junco do Maranhão;46.9;C;49.0;C;66.0;B;33.0;C;71.0;B;15.0;C;10.0;C;18.0;C
2105708;Lago da Pedra;56.5;C+;49.0;C;77.0;B+;37.0;C;80.0;B+;21.0;C;82.0;B+;42.0;C
2105807;Lago do Junco;59.8;C+;70.0;B;70.0;B;37.0;C;64.0;B;68.0;B;50.0;C+;50.0;C+
2105948;Lago dos Rodrigues;42.65;C;72.0;B;54.0;C+;40.0;C;23.0;C;28.0;C;10.0;C;23.0;C
2105922;Lagoa do Mato;37.65;C;22.0;C;61.0;B;40.0;C;43.0;C;29.0;C;5.0;C;18.0;C
2105963;Lagoa Grande do Maranhão;46.35;C;42.0;C;61.0;B;37.0;C;67.0;B;2.0;C;82.0;B+;29.0;C
2106003;Lima Campos;56.5;C+;48.0;C;77.0;B+;44.0;C;79.0;B+;33.0;C;5.0;C;59.0;C+
2106300;Magalhães de Almeida;44.15;C;55.0;C+;69.0;B;37.0;C;38.0;C;15.0;C;20.0;C;37.0;C
2106375;Maranhãozinho;46.65;C;47.0;C;59.0;C+;44.0;C;73.0;B;12.0;C;0.0;C;5.0;C
2106409;Mata Roma;61.05;B;59.0;C+;86.0;B+;40.0;C;74.0;B;65.0;B;0.0;C;51.0;C+
2106508;Matinha;50.15;C+;71.0;B;67.0;B;33.0;C;50.0;C+;36.0;C;0.0;C;39.0;C
2106631;Matões do Norte;56.6;C+;44.0;C;68.0;B;50.0;C+;66.0;B;57.0;C+;45.0;C;65.0;B
2106672;Milagres do Maranhão;39.0;C;50.0;C+;62.0;B;38.0;C;34.0;C;8.0;C;0.0;C;16.0;C
2106706;Mirador;45.8;C;61.0;B;59.0;C+;50.0;C+;47.0;C;15.0;C;0.0;C;26.0;C
2106805;Mirinzal;54.25;C+;61.0;B;43.0;C;46.0;C;80.0;B+;52.0;C+;20.0;C;45.0;C
2106904;Monção;39.5;C;38.0;C;73.0;B;27.0;C;47.0;C;12.0;C;0.0;C;42.0;C
2107100;Morros;53.9;C+;77.0;B+;73.0;B;37.0;C;46.0;C;57.0;C+;15.0;C;29.0;C
2107209;Nina Rodrigues;45.25;C;48.0;C;59.0;C+;31.0;C;67.0;B;21.0;C;40.0;C;15.0;C
2107258;Nova Colinas;28.85;C;49.0;C;66.0;B;0.0;C;21.0;C;8.0;C;0.0;C;21.0;C
2107357;Nova Olinda do Maranhão;33.95;C;18.0;C;60.0;B;25.0;C;40.0;C;18.0;C;3.0;C;68.0;B
2107407;Olho d'Água das Cunhãs;44.1;C;54.0;C+;68.0;B;31.0;C;46.0;C;19.0;C;5.0;C;51.0;C+
2107456;Olinda Nova do Maranhão;54.75;C+;59.0;C+;82.0;B+;42.0;C;69.0;B;10.0;C;45.0;C;26.0;C
2107605;Palmeirândia;43.85;C;41.0;C;74.0;B;42.0;C;33.0;C;25.0;C;62.0;B;5.0;C
2107704;Paraibano;42.2;C;53.0;C+;57.0;C+;27.0;C;31.0;C;46.0;C;40.0;C;52.0;C+
2107803;Parnarama;41.15;C;58.0;C+;45.0;C;31.0;C;45.0;C;6.0;C;57.0;C+;42.0;C
2107902;Passagem Franca;39.4;C;43.0;C;42.0;C;40.0;C;50.0;C+;22.0;C;5.0;C;39.0;C
2108009;Pastos Bons;48.7;C;61.0;B;61.0;B;42.0;C;36.0;C;38.0;C;75.0;B+;35.0;C
2108108;Paulo Ramos;44.7;C;48.0;C;68.0;B;38.0;C;51.0;C+;22.0;C;5.0;C;21.0;C
2107506;Paço do Lumiar;53.9;C+;61.0;B;65.0;B;25.0;C;62.0;B;47.0;C;83.0;B+;57.0;C+
2108207;Pedreiras;24.6;C;29.0;C;50.0;C+;25.0;C;0.0;C;28.0;C;20.0;C;0.0;C
2108256;Pedro do Rosário;42.55;C;57.0;C+;47.0;C;35.0;C;58.0;C+;16.0;C;0.0;C;23.0;C
2108306;Penalva;49.2;C;41.0;C;83.0;B+;33.0;C;60.0;B;41.0;C;10.0;C;16.0;C
2108405;Peri Mirim;35.8;C;39.0;C;58.0;C+;29.0;C;33.0;C;16.0;C;5.0;C;31.0;C
2108504;Pindaré-Mirim;53.2;C+;62.0;B;68.0;B;37.0;C;64.0;B;54.0;C+;10.0;C;26.0;C
2108801;Pirapemas;56.75;C+;77.0;B+;64.0;B;40.0;C;63.0;B;33.0;C;80.0;B+;5.0;C
2109056;Porto Rico do Maranhão;42.8;C;50.0;C+;79.0;B+;29.0;C;36.0;C;32.0;C;0.0;C;16.0;C
2108900;Poção de Pedras;37.95;C;58.0;C+;56.0;C+;10.0;C;43.0;C;13.0;C;30.0;C;27.0;C
2109106;Presidente Dutra;51.5;C+;56.0;C+;61.0;B;40.0;C;45.0;C;66.0;B;33.0;C;57.0;C+
2109239;Presidente Médici;35.45;C;48.0;C;60.0;B;25.0;C;29.0;C;10.0;C;0.0;C;37.0;C
2109304;Presidente Vargas;49.95;C;42.0;C;80.0;B+;42.0;C;66.0;B;24.0;C;0.0;C;43.0;C
2109403;Primeira Cruz;53.7;C+;62.0;B;82.0;B+;25.0;C;54.0;C+;58.0;C+;15.0;C;47.0;C
2109502;Riachão;42.15;C;53.0;C+;48.0;C;35.0;C;54.0;C+;18.0;C;0.0;C;43.0;C
2109551;Ribamar Fiquene;46.9;C;49.0;C;69.0;B;27.0;C;70.0;B;17.0;C;20.0;C;32.0;C
2109601;Rosário;51.9;C+;67.0;B;71.0;B;44.0;C;39.0;C;49.0;C;25.0;C;23.0;C
2109700;Sambaíba;48.55;C;56.0;C+;65.0;B;35.0;C;67.0;B;15.0;C;20.0;C;37.0;C
2109759;Santa Filomena do Maranhão;45.95;C;53.0;C+;41.0;C;40.0;C;70.0;B;41.0;C;0.0;C;21.0;C
2109809;Santa Helena;48.45;C;45.0;C;73.0;B;25.0;C;75.0;B+;31.0;C;0.0;C;35.0;C
2110005;Santa Luzia;44.7;C;44.0;C;79.0;B+;26.0;C;53.0;C+;11.0;C;20.0;C;40.0;C
2110039;Santa Luzia do Paruá;43.7;C;65.0;B;76.0;B+;27.0;C;17.0;C;42.0;C;17.0;C;49.0;C
2110203;Santa Rita;49.95;C;45.0;C;60.0;B;42.0;C;74.0;B;35.0;C;20.0;C;29.0;C
2110302;Santo Antônio dos Lopes;27.15;C;45.0;C;39.0;C;0.0;C;40.0;C;11.0;C;0.0;C;25.0;C
2111722;Satubinha;48.35;C;59.0;C+;71.0;B;29.0;C;70.0;B;8.0;C;10.0;C;21.0;C
2111763;Senador La Rocque;30.2;C;41.0;C;37.0;C;27.0;C;39.0;C;11.0;C;0.0;C;10.0;C
2111789;Serrano do Maranhão;50.75;C+;48.0;C;76.0;B+;35.0;C;67.0;B;41.0;C;5.0;C;32.0;C
2110500;São Bento;37.3;C;58.0;C+;77.0;B+;0.0;C;16.0;C;26.0;C;45.0;C;49.0;C
2110609;São Bernardo;43.95;C;39.0;C;61.0;B;21.0;C;67.0;B;48.0;C;0.0;C;43.0;C
2110856;São Francisco do Brejão;34.9;C;51.0;C+;65.0;B;0.0;C;55.0;C+;2.0;C;0.0;C;10.0;C
2111201;SÃO JOSÉ DE RIBAMAR;51.3;C+;56.0;C+;85.0;B+;31.0;C;50.0;C+;38.0;C;0.0;C;66.0;B
2111250;São José dos Basílios;47.1;C;51.0;C+;74.0;B;35.0;C;63.0;B;12.0;C;0.0;C;18.0;C
2111029;São João do Carú;46.15;C;62.0;B;54.0;C+;33.0;C;63.0;B;19.0;C;0.0;C;21.0;C
2111052;São João do Paraíso;39.05;C;40.0;C;53.0;C+;50.0;C+;25.0;C;48.0;C;5.0;C;8.0;C
2111300;São Luís;51.75;C+;74.0;B;48.0;C;25.0;C;49.0;C;53.0;C+;60.0;B;81.0;B+
2111508;São Mateus do Maranhão;42.55;C;44.0;C;65.0;B;4.0;C;63.0;B;29.0;C;40.0;C;37.0;C
2111532;São Pedro da Água Branca;35.6;C;52.0;C+;55.0;C+;29.0;C;32.0;C;2.0;C;5.0;C;35.0;C
2111573;São Pedro dos Crentes;49.55;C;64.0;B;55.0;C+;40.0;C;42.0;C;35.0;C;60.0;B;65.0;B
2111607;São Raimundo das Mangabeiras;46.0;C;63.0;B;49.0;C;37.0;C;51.0;C+;35.0;C;25.0;C;37.0;C
2111631;São Raimundo do Doca Bezerra;50.65;C+;66.0;B;59.0;C+;27.0;C;69.0;B;46.0;C;10.0;C;31.0;C
2111672;São Roberto;30.4;C;26.0;C;60.0;B;25.0;C;14.0;C;35.0;C;0.0;C;34.0;C
2111706;São Vicente Ferrer;31.6;C;44.0;C;26.0;C;31.0;C;43.0;C;13.0;C;0.0;C;26.0;C
2111805;Sítio Novo;45.1;C;40.0;C;54.0;C+;37.0;C;63.0;B;24.0;C;33.0;C;45.0;C
2112001;Tasso Fragoso;44.9;C;37.0;C;59.0;C+;35.0;C;39.0;C;57.0;C+;30.0;C;70.0;B
2112100;Timbiras;53.2;C+;76.0;B+;75.0;B+;31.0;C;43.0;C;44.0;C;43.0;C;29.0;C
2112209;Timon;60.4;B;80.0;B+;72.0;B;37.0;C;48.0;C;58.0;C+;97.0;A;47.0;C
2112233;Trizidela do Vale;47.35;C;47.0;C;59.0;C+;33.0;C;47.0;C;28.0;C;100.0;A;47.0;C
2112308;Tuntum;33.45;C;52.0;C+;45.0;C;14.0;C;30.0;C;37.0;C;0.0;C;27.0;C
2112407;Turiaçu;38.5;C;43.0;C;62.0;B;0.0;C;50.0;C+;49.0;C;30.0;C;22.0;C
2112605;Urbano Santos;58.8;C+;74.0;B;70.0;B;33.0;C;67.0;B;53.0;C+;30.0;C;64.0;B
2112704;Vargem Grande;51.45;C+;59.0;C+;58.0;C+;27.0;C;63.0;B;49.0;C;47.0;C;56.0;C+
2112803;Viana;39.5;C;44.0;C;56.0;C+;20.0;C;43.0;C;49.0;C;0.0;C;32.0;C
2112852;Vila Nova dos Martírios;41.85;C;54.0;C+;53.0;C+;25.0;C;51.0;C+;39.0;C;10.0;C;21.0;C
2112902;Vitória do Mearim;37.2;C;49.0;C;56.0;C+;13.0;C;34.0;C;38.0;C;30.0;C;18.0;C
2114007;Zé Doca;42.5;C;30.0;C;84.0;B+;25.0;C;58.0;C+;14.0;C;0.0;C;26.0;C
